likes,reposts,views,comments,attachments,text,movie,director,year,additional_info,oscar_winner,oscar_nominee,palme_winner,globe_winner,movie_flg,log_likes,log_reposts,log_views,log_comments,reactions,ER,prize,other_award
46,30,5841,3,9,"«Чернокнижник: Армагеддон», 1993 год. 
Режиссер: Энтони Хикокс.",Чернокнижник: Армагеддон,Энтони Хикокс,1993,,0.0,0.0,0.0,0.0,True,3.8501476017100575,3.4339872044851463,8.672828482947686,1.3862943611198906,79,1.352508132169149,0.0,0.0
274,561,31437,3,9,"«Губная помада», 1976 год. 
Режиссер: Ламонт Джонсон.

Марго Хемингуэй играет модель Крис, которая участвует в съемках рекламы губной помады. Она живет со своей младшей сестрой Кэти, поскольку их родители, вероятно, умерли. Кэти в восторге от своего учителя музыки Гордона Стюарта. Гордон в свою очередь одержим Крис. Стюарт навещает Крис в ее квартире, чтобы приобщить модель к своей сумасшедшей электронной музыке. С Гордоном происходит что-то странное и в конечном итоге он насилует Крис. После этого жуткого события следует судебный процесс, результаты которого развязывают руки Гордону-маньяку. 

То, что начинается как гламурный взгляд на жизнь фотомодели, постепенно превращается в тревожный и порой тяжелый для просмотра триллер, который могли снять только в 70-е годы. Трудно классифицировать этот фильм, но он кажется опережающим свое время (или, по крайней мере, первым в своем роде) отрезвляющим взглядом на систему правосудия, занимающуюся делами об изнасилованиях. Фильм находится где-то между телевизионной судебной мелодрамой и эксплутационным кино.",Губная помада,Ламонт Джонсон,1976," Марго Хемингуэй играет модель Крис, которая участвует в съемках рекламы губной помады. Она живет со своей младшей сестрой Кэти, поскольку их родители, вероятно, умерли. Кэти в восторге от своего учителя музыки Гордона Стюарта. Гордон в свою очередь одержим Крис. Стюарт навещает Крис в ее квартире, чтобы приобщить модель к своей сумасшедшей электронной музыке. С Гордоном происходит что-то странное и в конечном итоге он насилует Крис. После этого жуткого события следует судебный процесс, результаты которого развязывают руки Гордону-маньяку. То, что начинается как гламурный взгляд на жизнь фотомодели, постепенно превращается в тревожный и порой тяжелый для просмотра триллер, который могли снять только в 70-е ы. Трудно классифицировать этот фильм, но он кажется опережающим свое время (или, по крайней мере, первым в своем роде) отрезвляющим взглядом на систему правосудия, занимающуюся делами об изнасилованиях. Фильм находится где-то между телевизионной судебной мелодрамой и эксплутационным кино.",0.0,0.0,0.0,0.0,True,5.616771097666572,6.331501849893691,10.355772631288184,1.3862943611198906,838,2.6656487578331265,0.0,0.0
102,82,13583,3,9,"«Соблазн», 2001 год. 
Режиссер: Майкл Кристофер.",Соблазн,Майкл Кристофер,2001,,0.0,0.0,0.0,0.0,True,4.634728988229636,4.418840607796598,9.516647908551128,1.3862943611198906,187,1.376720901126408,0.0,0.0
348,132,26569,1,9,"«Красота по-американски», 1999 год. 
Режиссер: Сэм Мендес.",Красота по-американски,Сэм Мендес,1999,,1.0,1.0,0.0,1.0,True,5.855071922202427,4.890349128221754,10.18753803875386,0.6931471805599453,481,1.8103805186495538,2.0,1.0
512,172,32902,8,9,"«Дневник баскетболиста», 1995 год. 
Режиссер: Скотт Кэлверт.",Дневник баскетболиста,Скотт Кэлверт,1995,,0.0,0.0,0.0,0.0,True,6.240275845170769,5.153291594497779,10.40131911800666,2.19722457733622,692,2.1032156099933133,0.0,0.0
413,127,24459,15,9,"«Обитель зла», 2002 год. 
Режиссер: Пол У. С. Андерсон.",Обитель зла,Пол У,2002,  С. Андерсон.,0.0,0.0,0.0,0.0,True,6.025865973825314,4.852030263919617,10.104794409241164,2.772588722239781,555,2.2691033975223847,0.0,0.0
121,40,8057,0,9,"«Двойник», 2013 год. 
Режиссер: Ричард Айоади.",Двойник,Ричард Айоади,2013,,0.0,0.0,0.0,0.0,True,4.804021044733257,3.713572066704308,8.994420665751292,0.0,161,1.998262380538662,0.0,0.0
402,115,17928,8,9,"«Сонная Лощина», 1999 год. 
Режиссер: Тим Бёртон.",Сонная Лощина,Тим Бёртон,1999,,0.0,0.0,0.0,0.0,True,5.998936561946683,4.7535901911063645,9.794174792595427,2.19722457733622,525,2.928380187416332,0.0,0.0
182,247,31414,6,9,"«Последнее соблазнение», 1994 год.
Режиссер: Джон Дал.

Бриджет хочет иметь всё и сразу. Она сбегает с миллионом долларов, принадлежащих кредиторам её мужа, и прячется в маленьком городке под Нью-Йорком. Встретив там Майка, она склоняет его к страстному роману. Майк еще никогда не встречал женщину, подобную Бриджет. Она не рассказывает о прошлом и не дает никаких обещаний на будущее. Бриджет посвящает Майка в план, как можно быстро заработать, а тем временем разгневанный муж пытается любой ценой вернуть деньги.",Последнее соблазнение,Джон Дал,1994,"Бриджет хочет иметь всё и сразу. Она сбегает с миллионом долларов, принадлежащих кредиторам её мужа, и прячется в маленьком городке под Нью-Йорком. Встретив там Майка, она склоняет его к страстному роману. Майк еще никогда не встречал женщину, подобную Бриджет. Она не рассказывает о прошлом и не дает никаких обещаний на будущее. Бриджет посвящает Майка в план, как можно быстро заработать, а тем временем разгневанный муж пытается любой ценой вернуть деньги.",0.0,0.0,0.0,0.0,True,5.209486152841421,5.513428746164983,10.355040764837048,1.9459101490553128,435,1.3847329216272999,0.0,0.0
160,125,14505,0,9,"«Мексиканец», 2001 год. 
Режиссер: Гор Вербински.",Мексиканец,Гор Вербински,2001,,0.0,0.0,0.0,0.0,True,5.081404364984463,4.836281906951478,9.582317635923358,0.0,285,1.9648397104446742,0.0,0.0
144,63,12640,3,9,"«Бьютифул», 2010 год. 
Режиссер: Алехандро Гонсалес Иньярриту.",Бьютифул,Алехандро Гонсалес Иньярриту,2010,,0.0,0.0,0.0,0.0,True,4.976733742420574,4.158883083359672,9.444700778495555,1.3862943611198906,210,1.661392405063291,0.0,0.0
248,122,24339,8,9,"«Основной инстинкт», 1992 год. 
Режиссер: Пол Верховен.",Основной инстинкт,Пол Верховен,1992,,0.0,0.0,0.0,0.0,True,5.517452896464707,4.812184355372417,10.09987636654152,2.19722457733622,378,1.553062985332183,0.0,0.0
