likes,reposts,views,comments,attachments,text,movie,director,year,additional_info,oscar_winner,oscar_nominee,palme_winner,globe_winner,movie_flg,log_likes,log_reposts,log_views,log_comments,reactions,ER,prize,other_award
114,51,13382,1,9,В главной роли — Роми Шнайдер 📽,,,0,В главной роли — Роми Шнайдер 📽,0.0,,,,False,4.74493212836325,3.951243718581428,9.501740523796377,0.6931471805599453,166,1.2404722761918996,,
154,23,13978,1,6,🖤 Маргарет Куолли в объективе Тома Шумахера 🖤,,,0,🖤 Маргарет Куолли в объективе Тома Шумахера 🖤,0.0,,,,False,5.043425116919247,3.1780538303479458,9.545311482471128,0.6931471805599453,178,1.2734296752038918,,
560,229,34867,23,9,"Дэвид Линч, который вдохновился картинами Фрэнсиса Бэкона.",,,0,"Дэвид Линч, который вдохновился картинами Фрэнсиса Бэкона.",0.0,,,,False,6.329720905522696,5.438079308923196,10.459324782131466,3.1780538303479458,812,2.328849628588637,,
137,156,20015,0,9,Новый французский экстрим 📽,,,0,Новый французский экстрим 📽,0.0,,,,False,4.927253685157205,5.056245805348308,9.904287232706691,0.0,293,1.4639020734449164,,
199,27,17182,2,6,"🌻 Брижит Бардо на фотографиях Вилли Риццо в Сен-Тропе, 1958 🌻",,,1958,"🌻 Брижит Бардо на фотографиях Вилли Риццо в Сен-Тропе,  🌻",0.0,,,,False,5.298317366548036,3.332204510175204,9.751675801946746,1.0986122886681098,228,1.3269700849726458,,
347,395,27401,12,9,Одиночество 📽,,,0,Одиночество 📽,0.0,,,,False,5.8522024797744745,5.981414211254481,10.218371282413054,2.5649493574615367,754,2.751724389620817,,
87,12,12310,0,2,"🌺 Дрю Бэрримор в объективе Дэвида Лашапеля, 1995 🌺",,,1995,"🌺 Дрю Бэрримор в объективе Дэвида Лашапеля,  🌺",0.0,,,,False,4.477336814478207,2.5649493574615367,9.418248450647615,0.0,99,0.8042242079610074,,
69,46,9883,8,9,Некоторые из любимых фильмов Фрэнсиса Форда Копполы 📽,,,0,Некоторые из любимых фильмов Фрэнсиса Форда Копполы 📽,0.0,,,,False,4.248495242049359,3.8501476017100575,9.1986725671085,2.19722457733622,123,1.2445613680056664,,
179,245,24147,1,9,Магический реализм 📽,,,0,Магический реализм 📽,0.0,,,,False,5.19295685089021,5.5053315359323625,10.091956839916318,0.6931471805599453,425,1.7600530086553194,,
90,9,16265,1,8,"Кадры со съёмок «Дюна: Часть вторая», 2024 📸",,,2024,"Кадры со съёмок «Дюна: Часть вторая»,  📸",0.0,,,,False,4.51085950651685,2.302585092994046,9.69683231872672,0.6931471805599453,100,0.6148170919151552,,
317,531,48496,27,9,Хорроры 20-х годов XXI века 📽,,,0,Хорроры 20-х ов XXI века 📽,0.0,,,,False,5.762051382780177,6.2766434893416445,10.78925721934233,3.332204510175204,875,1.8042725173210161,,
93,24,14423,1,9,"🌻 Катрин Денёв в фильме «Дневная красавица», 1967 🌻",,,1967,"🌻 Катрин Денёв в фильме «Дневная красавица»,  🌻",0.0,,,,False,4.543294782270004,3.218875824868201,9.576648764883153,0.6931471805599453,118,0.8181376967343825,,
123,7,11381,6,1,"🌼 Бриттани Мерфи для GQ, 2002 🌼",,,2002,"🌼 Бриттани Мерфи для GQ,  🌼",0.0,,,,False,4.820281565605037,2.079441541679836,9.339788439163067,1.9459101490553128,136,1.1949740796063615,,
192,30,14896,8,5,🖤 Шарлотта Генсбур в объективе Паолы Кудаки 🖤,,,0,🖤 Шарлотта Генсбур в объективе Паолы Кудаки 🖤,0.0,,,,False,5.262690188904886,3.4339872044851463,9.608915129379591,2.19722457733622,230,1.5440386680988185,,
151,248,20623,0,9,"Бесстыдные экранные развлечения 📽
Shameless Screen Entertainment — британская DVD компания, специализирующаяся на эксплуатационных фильмах.",,,0,"Бесстыдные экранные развлечения 📽Shameless Screen Entertainment — британская DVD компания, специализирующаяся на эксплуатационных фильмах.",0.0,,,,False,5.0238805208462765,5.517452896464707,9.934210725178968,0.0,399,1.9347330650244872,,
142,36,22276,3,6,"🌼 Джейн Фонда на промо-фото к фильму «Барбарелла», 1968 🌼",,,1968,"🌼 Джейн Фонда на промо-фото к фильму «Барбарелла»,  🌼",0.0,,,,False,4.962844630259907,3.610917912644224,10.011310035064874,1.3862943611198906,181,0.8125336685221763,,
